plant,frame,inliers,reprojection_rmse_px,hsi_pixels,valid_depth_points,valid_depth_fraction,median_depth_m,ndvi_median
Coleus,330,33,0.925922691822052,7118,5560,0.7811182916549593,0.5205000042915344,0.7319223880767822
Fuzzy kalanchoe,540,11,2.4408299922943115,3236,2539,0.784610630407911,0.5139999985694885,0.5823397040367126
Succulent / jade,750,20,0.4888399541378021,3539,2386,0.6742017519073185,0.663100004196167,0.6993550062179565
