segment,row_start,row_end,plant_fraction,mean_NDVI
upper,0,165,0.10895915678524375,0.6647714376449585
middle,165,330,0.23451910408432147,0.5898747444152832
lower,330,496,0.12002357255107386,0.648370623588562
