index,formula,pixels,mean,median,std,p10,p90,display_p02,display_p98
NDVI,(R800 − R680) / (R800 + R680),14094,0.6226691603660583,0.6465458869934082,0.15985547006130219,0.3866260051727295,0.806321918964386,0.2983350765705109,0.8451532900333404
NPCI,(R680 − R430) / (R680 + R430),14094,-0.36365482211112976,-0.40290358662605286,0.25550609827041626,-0.6679728627204895,-0.002846066839993,-0.805052455663681,0.1596599447727203
PSRI,(R678 − R500) / R750,14090,-0.08312893658876419,-0.057619258761405945,0.2777169346809387,-0.20043793320655823,0.10072429478168488,-0.9386883270740508,0.294399825930595
PRI,(R531 − R570) / (R531 + R570),14094,0.03374890983104706,0.02155718021094799,0.05943954735994339,-0.024220502004027367,0.11469191312789917,-0.05933142900466919,0.19808558434247955
SR,R800 / R680,13961,5.406099796295166,4.686546325683594,2.801288366317749,2.261298656463623,9.334600448608398,1.8504322290420532,11.927002334594718
SIPI,(R800 − R445) / (R800 + R680),14094,0.44181376695632935,0.5530470609664917,0.36094415187835693,0.12457465380430222,0.6789429783821106,-0.8270852792263031,0.7327293145656585
RENDVI,(R750 − R705) / (R750 + R705),14094,0.2548980414867401,0.2406320422887802,0.10848063975572586,0.12466559559106827,0.4074263572692871,0.06776578098535538,0.5042862737178802
NPQI,(R415 − R430) / (R415 + R430),14094,0.05270038917660713,0.05859542638063431,0.11624307185411453,-0.08300679922103882,0.17391304671764374,-0.20729401916265486,0.2891188555955884
NDRE,(R790 − R720) / (R790 + R720),14094,0.10682082921266556,0.0882163792848587,0.08075795322656631,0.017010992392897606,0.2097402662038803,0.0,0.26803122639656046
CCCI,NDRE / NDVI,14090,0.183567613363266,0.13710086047649384,0.1537950336933136,0.02785181812942028,0.3820483684539795,0.0,0.5868323922157286
CRI2,1/R510 − 1/R700,14053,1.3237470388412476,1.6461572647094727,4.170135021209717,0.1052129715681076,5.059603691101074,-13.946732635498046,7.520677661895745
NDWI,(R860 − R1240) / (R860 + R1240),14094,0.070424884557724,0.0404851958155632,0.2164756953716278,-0.12050342559814453,0.3240235447883606,-0.5057080996036529,0.5430754637718196
MSI,R1600 / R820,14094,0.6793811321258545,0.6204210519790649,0.6175821423530579,0.119842030107975,1.0,0.00038647439330816304,2.76011110782623
NDNI,"log(1/R1510) − log(1/R1680), normalized",12034,0.5996977090835571,0.5038480162620544,0.272777259349823,0.30660176277160645,1.0,0.23370087891817093,1.0
